Offset-Description                                                                   
0000 - Double            2E65288A180 : 0.000036837183872E6528E08B0 : 0               
05EC - 4 Bytes           2E65288A76C : 0               2E6528E0E9C : 255             
05F0 - 4 Bytes (Hex)     2E65288A770 : 00FF1388        2E6528E0EA0 : 00FF1388        
05F4 - 4 Bytes           2E65288A774 : 0               2E6528E0EA4 : 0               
05F8 - 4 Bytes           2E65288A778 : 1               2E6528E0EA8 : 0               
05FC - 4 Bytes (Hex)     2E65288A77C : 81488101        2E6528E0EAC : 00000000        
0600 - 4 Bytes           2E65288A780 : 2               2E6528E0EB0 : 4294967295      
0604 - 4 Bytes           2E65288A784 : 0               2E6528E0EB4 : 4294967295      
0608 - 4 Bytes (Hex)     2E65288A788 : 0000E957        2E6528E0EB8 : FFFFFFFF        
060C - 4 Bytes           2E65288A78C : 21              2E6528E0EBC : 0               
0610 - 4 Bytes (Hex)     2E65288A790 : 00030096        2E6528E0EC0 : 00000000        
0614 - 4 Bytes           2E65288A794 : 4294967295      2E6528E0EC4 : 4294967295      
0618 - 4 Bytes           2E65288A798 : 0               2E6528E0EC8 : 0               
061C - 4 Bytes           2E65288A79C : 0               2E6528E0ECC : 0               
0620 - 4 Bytes           2E65288A7A0 : 4294967295      2E6528E0ED0 : 4294967295      
0624 - 4 Bytes           2E65288A7A4 : 0               2E6528E0ED4 : 0               
0628 - 4 Bytes           2E65288A7A8 : 0               2E6528E0ED8 : 0               
062C - 4 Bytes           2E65288A7AC : 4294967295      2E6528E0EDC : 4294967295      
0630 - 4 Bytes           2E65288A7B0 : 0               2E6528E0EE0 : 0               
0634 - 4 Bytes           2E65288A7B4 : 0               2E6528E0EE4 : 0               
0638 - 4 Bytes           2E65288A7B8 : 4294967295      2E6528E0EE8 : 4294967295      
063C - 4 Bytes           2E65288A7BC : 0               2E6528E0EEC : 0               
0640 - 4 Bytes           2E65288A7C0 : 0               2E6528E0EF0 : 0               
0644 - 4 Bytes           2E65288A7C4 : 4294967295      2E6528E0EF4 : 4294967295      
0648 - 4 Bytes           2E65288A7C8 : 0               2E6528E0EF8 : 0               
064C - 4 Bytes           2E65288A7CC : 0               2E6528E0EFC : 0               
0650 - 4 Bytes           2E65288A7D0 : 4294967295      2E6528E0F00 : 4294967295      
0654 - 4 Bytes           2E65288A7D4 : 0               2E6528E0F04 : 0               
0658 - 4 Bytes           2E65288A7D8 : 0               2E6528E0F08 : 0               
065C - 4 Bytes           2E65288A7DC : 0               2E6528E0F0C : 0               
0660 - String            2E65288A7E0 : jdjd            2E6528E0F10 :                 
0664 - 4 Bytes (Hex)     2E65288A7E4 : 00010001        2E6528E0F14 : 00000000        
0668 - 4 Bytes           2E65288A7E8 : 1               2E6528E0F18 : 0               
066C - 4 Bytes           2E65288A7EC : 0               2E6528E0F1C : 0               
0670 - 4 Bytes           2E65288A7F0 : 128             2E6528E0F20 : 2               
0674 - 4 Bytes           2E65288A7F4 : 0               2E6528E0F24 : 255             
0678 - 4 Bytes (Hex)     2E65288A7F8 : 00FF1388        2E6528E0F28 : 00FF1388        
067C - 4 Bytes           2E65288A7FC : 0               2E6528E0F2C : 0               
0680 - 4 Bytes           2E65288A800 : 2               2E6528E0F30 : 0               
0684 - 4 Bytes (Hex)     2E65288A804 : 87EF8801        2E6528E0F34 : 00000000        
0688 - 4 Bytes           2E65288A808 : 3               2E6528E0F38 : 4294967295      
068C - 4 Bytes           2E65288A80C : 0               2E6528E0F3C : 4294967295      
0690 - 4 Bytes           2E65288A810 : 4268            2E6528E0F40 : 4294967295      
0694 - 4 Bytes           2E65288A814 : 30              2E6528E0F44 : 0               
0698 - 4 Bytes (Hex)     2E65288A818 : 00030096        2E6528E0F48 : 00000000        
069C - 4 Bytes           2E65288A81C : 4294967295      2E6528E0F4C : 4294967295      
06A0 - 4 Bytes           2E65288A820 : 0               2E6528E0F50 : 0               
06A4 - 4 Bytes           2E65288A824 : 0               2E6528E0F54 : 0               
06A8 - 4 Bytes           2E65288A828 : 4294967295      2E6528E0F58 : 4294967295      
06AC - 4 Bytes           2E65288A82C : 0               2E6528E0F5C : 0               
06B0 - 4 Bytes           2E65288A830 : 0               2E6528E0F60 : 0               
06B4 - 4 Bytes           2E65288A834 : 4294967295      2E6528E0F64 : 4294967295      
06B8 - 4 Bytes           2E65288A838 : 0               2E6528E0F68 : 0               
06BC - 4 Bytes           2E65288A83C : 0               2E6528E0F6C : 0               
06C0 - 4 Bytes           2E65288A840 : 4294967295      2E6528E0F70 : 4294967295      
06C4 - 4 Bytes           2E65288A844 : 0               2E6528E0F74 : 0               
06C8 - 4 Bytes           2E65288A848 : 0               2E6528E0F78 : 0               
06CC - 4 Bytes           2E65288A84C : 4294967295      2E6528E0F7C : 4294967295      
06D0 - 4 Bytes           2E65288A850 : 0               2E6528E0F80 : 0               
06D4 - 4 Bytes           2E65288A854 : 0               2E6528E0F84 : 0               
06D8 - 4 Bytes           2E65288A858 : 4294967295      2E6528E0F88 : 4294967295      
06DC - 4 Bytes           2E65288A85C : 0               2E6528E0F8C : 0               
06E0 - Double            2E65288A860 : -0.00001062354562E6528E0F90 : 0               
06E8 - 4 Bytes (Hex)     2E65288A868 : 1A441A44        2E6528E0F98 : 00000000        
06EC - 4 Bytes (Hex)     2E65288A86C : 00010001        2E6528E0F9C : 00000000        
06F0 - 4 Bytes           2E65288A870 : 1               2E6528E0FA0 : 0               
06F4 - 4 Bytes           2E65288A874 : 0               2E6528E0FA4 : 0               
06F8 - 4 Bytes           2E65288A878 : 128             2E6528E0FA8 : 2               
06FC - 4 Bytes           2E65288A87C : 0               2E6528E0FAC : 255             
0700 - 4 Bytes (Hex)     2E65288A880 : 00FF1388        2E6528E0FB0 : 00FF1388        
0704 - 4 Bytes           2E65288A884 : 0               2E6528E0FB4 : 0               
0708 - 4 Bytes           2E65288A888 : 3               2E6528E0FB8 : 0               
070C - 4 Bytes (Hex)     2E65288A88C : 12321241        2E6528E0FBC : 00000000        
0710 - 4 Bytes           2E65288A890 : 4               2E6528E0FC0 : 4294967295      
0714 - 4 Bytes           2E65288A894 : 0               2E6528E0FC4 : 4294967295      
0718 - 4 Bytes (Hex)     2E65288A898 : 0000E957        2E6528E0FC8 : FFFFFFFF        
071C - 4 Bytes           2E65288A89C : 21              2E6528E0FCC : 0               
0720 - 4 Bytes (Hex)     2E65288A8A0 : 00030096        2E6528E0FD0 : 00000000        
0724 - 4 Bytes           2E65288A8A4 : 4294967295      2E6528E0FD4 : 4294967295      
0728 - 4 Bytes           2E65288A8A8 : 0               2E6528E0FD8 : 0               
072C - 4 Bytes           2E65288A8AC : 0               2E6528E0FDC : 0               
0730 - 4 Bytes           2E65288A8B0 : 4294967295      2E6528E0FE0 : 4294967295      
0734 - 4 Bytes           2E65288A8B4 : 0               2E6528E0FE4 : 0               
0738 - 4 Bytes           2E65288A8B8 : 0               2E6528E0FE8 : 0               
073C - 4 Bytes           2E65288A8BC : 4294967295      2E6528E0FEC : 4294967295      
0740 - 4 Bytes           2E65288A8C0 : 0               2E6528E0FF0 : 0               
0744 - 4 Bytes           2E65288A8C4 : 0               2E6528E0FF4 : 0               
0748 - 4 Bytes           2E65288A8C8 : 4294967295      2E6528E0FF8 : 4294967295      
074C - 4 Bytes           2E65288A8CC : 0               2E6528E0FFC : 0               
0750 - 4 Bytes           2E65288A8D0 : 0               2E6528E1000 : 0               
0754 - 4 Bytes           2E65288A8D4 : 4294967295      2E6528E1004 : 4294967295      
0758 - 4 Bytes           2E65288A8D8 : 0               2E6528E1008 : 0               
075C - 4 Bytes           2E65288A8DC : 0               2E6528E100C : 0               
0760 - 4 Bytes           2E65288A8E0 : 4294967295      2E6528E1010 : 4294967295      
0764 - 4 Bytes           2E65288A8E4 : 0               2E6528E1014 : 0               
0768 - 4 Bytes           2E65288A8E8 : 0               2E6528E1018 : 0               
076C - 4 Bytes           2E65288A8EC : 0               2E6528E101C : 45416454        
0770 - 4 Bytes           2E65288A8F0 : 0               2E6528E1020 : 0               
0774 - 4 Bytes           2E65288A8F4 : 0               2E6528E1024 : 0               
0778 - 4 Bytes           2E65288A8F8 : 0               2E6528E1028 : 0               
077C - 4 Bytes           2E65288A8FC : 0               2E6528E102C : 0               
0780 - 4 Bytes           2E65288A900 : 2               2E6528E1030 : 2               
0784 - 4 Bytes           2E65288A904 : 255             2E6528E1034 : 255             
0788 - 4 Bytes (Hex)     2E65288A908 : 00FF1388        2E6528E1038 : 00FF1388        
078C - 4 Bytes           2E65288A90C : 0               2E6528E103C : 0               
0790 - 4 Bytes           2E65288A910 : 0               2E6528E1040 : 0               
0794 - 4 Bytes           2E65288A914 : 0               2E6528E1044 : 0               
0798 - 4 Bytes           2E65288A918 : 4294967295      2E6528E1048 : 4294967295      
079C - 4 Bytes           2E65288A91C : 4294967295      2E6528E104C : 4294967295      
07A0 - 4 Bytes           2E65288A920 : 4294967295      2E6528E1050 : 4294967295      
07A4 - 4 Bytes           2E65288A924 : 0               2E6528E1054 : 0               
07A8 - 4 Bytes           2E65288A928 : 0               2E6528E1058 : 0               
07AC - 4 Bytes           2E65288A92C : 4294967295      2E6528E105C : 4294967295      
07B0 - 4 Bytes           2E65288A930 : 0               2E6528E1060 : 0               
07B4 - 4 Bytes           2E65288A934 : 0               2E6528E1064 : 0               
07B8 - 4 Bytes           2E65288A938 : 4294967295      2E6528E1068 : 4294967295      
07BC - 4 Bytes           2E65288A93C : 0               2E6528E106C : 0               
07C0 - 4 Bytes           2E65288A940 : 0               2E6528E1070 : 0               
07C4 - 4 Bytes           2E65288A944 : 4294967295      2E6528E1074 : 4294967295      
07C8 - 4 Bytes           2E65288A948 : 0               2E6528E1078 : 0               
07CC - 4 Bytes           2E65288A94C : 0               2E6528E107C : 0               
07D0 - 4 Bytes           2E65288A950 : 4294967295      2E6528E1080 : 4294967295      
07D4 - 4 Bytes           2E65288A954 : 0               2E6528E1084 : 0               
07D8 - 4 Bytes           2E65288A958 : 0               2E6528E1088 : 0               
07DC - 4 Bytes           2E65288A95C : 4294967295      2E6528E108C : 4294967295      
07E0 - 4 Bytes           2E65288A960 : 0               2E6528E1090 : 0               
07E4 - 4 Bytes           2E65288A964 : 0               2E6528E1094 : 0               
07E8 - 4 Bytes           2E65288A968 : 4294967295      2E6528E1098 : 4294967295      
07EC - 4 Bytes           2E65288A96C : 0               2E6528E109C : 0               
07F0 - Double            2E65288A970 : -0.00091711478302E6528E10A0 : 0               
07F8 - 4 Bytes           2E65288A978 : 0               2E6528E10A8 : 0               
07FC - 4 Bytes           2E65288A97C : 0               2E6528E10AC : 0               
0800 - 4 Bytes           2E65288A980 : 0               2E6528E10B0 : 0               
0804 - 4 Bytes           2E65288A984 : 0               2E6528E10B4 : 0               
0808 - 4 Bytes           2E65288A988 : 2               2E6528E10B8 : 2               
080C - 4 Bytes           2E65288A98C : 255             2E6528E10BC : 255             
0810 - 4 Bytes (Hex)     2E65288A990 : 00FF1388        2E6528E10C0 : 00FF1388        
0814 - 4 Bytes           2E65288A994 : 0               2E6528E10C4 : 0               
0818 - 4 Bytes           2E65288A998 : 0               2E6528E10C8 : 0               
081C - 4 Bytes           2E65288A99C : 0               2E6528E10CC : 0               
0820 - 4 Bytes           2E65288A9A0 : 4294967295      2E6528E10D0 : 4294967295      
0824 - 4 Bytes           2E65288A9A4 : 4294967295      2E6528E10D4 : 4294967295      
0828 - 4 Bytes           2E65288A9A8 : 4294967295      2E6528E10D8 : 4294967295      
082C - 4 Bytes           2E65288A9AC : 0               2E6528E10DC : 0               
0830 - 4 Bytes           2E65288A9B0 : 0               2E6528E10E0 : 0               
0834 - 4 Bytes           2E65288A9B4 : 4294967295      2E6528E10E4 : 4294967295      
0838 - 4 Bytes           2E65288A9B8 : 0               2E6528E10E8 : 0               
083C - 4 Bytes           2E65288A9BC : 0               2E6528E10EC : 0               
0840 - 4 Bytes           2E65288A9C0 : 4294967295      2E6528E10F0 : 4294967295      
0844 - 4 Bytes           2E65288A9C4 : 0               2E6528E10F4 : 0               
0848 - 4 Bytes           2E65288A9C8 : 0               2E6528E10F8 : 0               
084C - 4 Bytes           2E65288A9CC : 4294967295      2E6528E10FC : 4294967295      
0850 - 4 Bytes           2E65288A9D0 : 0               2E6528E1100 : 0               
0854 - 4 Bytes           2E65288A9D4 : 0               2E6528E1104 : 0               
0858 - 4 Bytes           2E65288A9D8 : 4294967295      2E6528E1108 : 4294967295      
085C - 4 Bytes           2E65288A9DC : 0               2E6528E110C : 0               
0860 - 4 Bytes           2E65288A9E0 : 0               2E6528E1110 : 0               
0864 - 4 Bytes           2E65288A9E4 : 4294967295      2E6528E1114 : 4294967295      
0868 - 4 Bytes           2E65288A9E8 : 0               2E6528E1118 : 0               
086C - 4 Bytes           2E65288A9EC : 0               2E6528E111C : 0               
0870 - 4 Bytes           2E65288A9F0 : 4294967295      2E6528E1120 : 4294967295      
0874 - 4 Bytes           2E65288A9F4 : 0               2E6528E1124 : 0               
0878 - Pointer           2E65288A9F8 : P->2E600000000  2E6528E1128 : P->00000000     
0880 - 4 Bytes           2E65288AA00 : 0               2E6528E1130 : 0               
0884 - 4 Bytes           2E65288AA04 : 0               2E6528E1134 : 0               
0888 - 4 Bytes           2E65288AA08 : 0               2E6528E1138 : 0               
088C - 4 Bytes           2E65288AA0C : 0               2E6528E113C : 0               
0890 - 4 Bytes           2E65288AA10 : 2               2E6528E1140 : 2               
0894 - 4 Bytes           2E65288AA14 : 255             2E6528E1144 : 255             
0898 - 4 Bytes (Hex)     2E65288AA18 : 00FF1388        2E6528E1148 : 00FF1388        
089C - 4 Bytes           2E65288AA1C : 0               2E6528E114C : 0               
08A0 - 4 Bytes           2E65288AA20 : 0               2E6528E1150 : 0               
08A4 - 4 Bytes           2E65288AA24 : 0               2E6528E1154 : 0               
08A8 - 4 Bytes           2E65288AA28 : 4294967295      2E6528E1158 : 4294967295      
08AC - 4 Bytes           2E65288AA2C : 4294967295      2E6528E115C : 4294967295      
08B0 - 4 Bytes           2E65288AA30 : 4294967295      2E6528E1160 : 4294967295      
08B4 - 4 Bytes           2E65288AA34 : 0               2E6528E1164 : 0               
08B8 - 4 Bytes           2E65288AA38 : 0               2E6528E1168 : 0               
08BC - 4 Bytes           2E65288AA3C : 4294967295      2E6528E116C : 4294967295      
08C0 - 4 Bytes           2E65288AA40 : 0               2E6528E1170 : 0               
08C4 - 4 Bytes           2E65288AA44 : 0               2E6528E1174 : 0               
08C8 - 4 Bytes           2E65288AA48 : 4294967295      2E6528E1178 : 4294967295      
08CC - 4 Bytes           2E65288AA4C : 0               2E6528E117C : 0               
08D0 - 4 Bytes           2E65288AA50 : 0               2E6528E1180 : 0               
08D4 - 4 Bytes           2E65288AA54 : 4294967295      2E6528E1184 : 4294967295      
08D8 - 4 Bytes           2E65288AA58 : 0               2E6528E1188 : 0               
08DC - 4 Bytes           2E65288AA5C : 0               2E6528E118C : 0               
08E0 - 4 Bytes           2E65288AA60 : 4294967295      2E6528E1190 : 4294967295      
08E4 - 4 Bytes           2E65288AA64 : 0               2E6528E1194 : 0               
08E8 - 4 Bytes           2E65288AA68 : 0               2E6528E1198 : 0               
08EC - 4 Bytes           2E65288AA6C : 4294967295      2E6528E119C : 4294967295      
08F0 - 4 Bytes           2E65288AA70 : 0               2E6528E11A0 : 0               
08F4 - 4 Bytes           2E65288AA74 : 0               2E6528E11A4 : 0               
08F8 - 4 Bytes           2E65288AA78 : 4294967295      2E6528E11A8 : 4294967295      
08FC - 4 Bytes           2E65288AA7C : 0               2E6528E11AC : 0               
0900 - 4 Bytes           2E65288AA80 : 0               2E6528E11B0 : 0               
0904 - 4 Bytes           2E65288AA84 : 0               2E6528E11B4 : 5               
0908 - 4 Bytes           2E65288AA88 : 0               2E6528E11B8 : 0               
090C - 4 Bytes           2E65288AA8C : 0               2E6528E11BC : 0               
0910 - 4 Bytes           2E65288AA90 : 0               2E6528E11C0 : 0               
0914 - 4 Bytes           2E65288AA94 : 0               2E6528E11C4 : 0               
0918 - 4 Bytes           2E65288AA98 : 2               2E6528E11C8 : 2               
091C - 4 Bytes           2E65288AA9C : 255             2E6528E11CC : 255             
0920 - 4 Bytes (Hex)     2E65288AAA0 : 00FF1388        2E6528E11D0 : 00FF1388        
0924 - 4 Bytes           2E65288AAA4 : 0               2E6528E11D4 : 0               
0928 - 4 Bytes           2E65288AAA8 : 0               2E6528E11D8 : 0               
092C - 4 Bytes           2E65288AAAC : 0               2E6528E11DC : 0               
0930 - 4 Bytes           2E65288AAB0 : 4294967295      2E6528E11E0 : 4294967295      
0934 - 4 Bytes           2E65288AAB4 : 4294967295      2E6528E11E4 : 4294967295      
0938 - 4 Bytes           2E65288AAB8 : 4294967295      2E6528E11E8 : 4294967295      
093C - 4 Bytes           2E65288AABC : 0               2E6528E11EC : 0               
0940 - 4 Bytes           2E65288AAC0 : 0               2E6528E11F0 : 0               
0944 - 4 Bytes           2E65288AAC4 : 4294967295      2E6528E11F4 : 4294967295      
0948 - 4 Bytes           2E65288AAC8 : 0               2E6528E11F8 : 0               
094C - 4 Bytes           2E65288AACC : 0               2E6528E11FC : 0               
0950 - 4 Bytes           2E65288AAD0 : 4294967295      2E6528E1200 : 4294967295      
0954 - 4 Bytes           2E65288AAD4 : 0               2E6528E1204 : 0               
0958 - 4 Bytes           2E65288AAD8 : 0               2E6528E1208 : 0               
095C - 4 Bytes           2E65288AADC : 4294967295      2E6528E120C : 4294967295      
0960 - 4 Bytes           2E65288AAE0 : 0               2E6528E1210 : 0               
0964 - 4 Bytes           2E65288AAE4 : 0               2E6528E1214 : 0               
0968 - 4 Bytes           2E65288AAE8 : 4294967295      2E6528E1218 : 4294967295      
096C - 4 Bytes           2E65288AAEC : 0               2E6528E121C : 0               
0970 - 4 Bytes           2E65288AAF0 : 0               2E6528E1220 : 0               
0974 - 4 Bytes           2E65288AAF4 : 4294967295      2E6528E1224 : 4294967295      
0978 - 4 Bytes           2E65288AAF8 : 0               2E6528E1228 : 0               
097C - 4 Bytes           2E65288AAFC : 0               2E6528E122C : 0               
0980 - 4 Bytes           2E65288AB00 : 4294967295      2E6528E1230 : 4294967295      
0984 - 4 Bytes           2E65288AB04 : 0               2E6528E1234 : 0               
0988 - 4 Bytes           2E65288AB08 : 0               2E6528E1238 : 0               
098C - Float             2E65288AB0C : 30              2E6528E123C : Nan             
0990 - 4 Bytes           2E65288AB10 : 100             2E6528E1240 : 0               
0994 - 4 Bytes (Hex)     2E65288AB14 : 01010100        2E6528E1244 : 01010101        
0998 - 4 Bytes (Hex)     2E65288AB18 : 00010101        2E6528E1248 : 00010101        
099C - 4 Bytes           2E65288AB1C : 0               2E6528E124C : 1040187392      
09A0 - 4 Bytes           2E65288AB20 : 880             2E6528E1250 : 540             
09A4 - 4 Bytes           2E65288AB24 : 960             2E6528E1254 : 1000            
09A8 - 4 Bytes           2E65288AB28 : 74              2E6528E1258 : 0               
09AC - 4 Bytes           2E65288AB2C : 0               2E6528E125C : 0               
09B0 - 4 Bytes           2E65288AB30 : 1               2E6528E1260 : 2               
09B4 - 4 Bytes           2E65288AB34 : 2               2E6528E1264 : 2               
09B8 - 4 Bytes           2E65288AB38 : 45              2E6528E1268 : 20              
09BC - 4 Bytes           2E65288AB3C : 4294967295      2E6528E126C : 4294967295      
09C0 - 4 Bytes           2E65288AB40 : 0               2E6528E1270 : 0               
09C4 - 4 Bytes           2E65288AB44 : 30              2E6528E1274 : 30              
09C8 - 4 Bytes           2E65288AB48 : 11              2E6528E1278 : 2               
09CC - Float             2E65288AB4C : 0.298828125     2E6528E127C : 1.401298464E-45 
09D0 - 4 Bytes           2E65288AB50 : 79              2E6528E1280 : 0               
09D4 - 4 Bytes           2E65288AB54 : 0               2E6528E1284 : 0               
09D8 - 4 Bytes           2E65288AB58 : 2               2E6528E1288 : 0               
09DC - 4 Bytes           2E65288AB5C : 2               2E6528E128C : 0               
09E0 - 4 Bytes           2E65288AB60 : 55              2E6528E1290 : 20              
09E4 - 4 Bytes           2E65288AB64 : 4294967295      2E6528E1294 : 4294967295      
09E8 - 4 Bytes           2E65288AB68 : 0               2E6528E1298 : 0               
09EC - 4 Bytes           2E65288AB6C : 54              2E6528E129C : 30              
09F0 - Double            2E65288AB70 : -512.000000000002E6528E12A0 : Nan             
09F8 - 4 Bytes           2E65288AB78 : 0               2E6528E12A8 : 0               
09FC - 4 Bytes           2E65288AB7C : 0               2E6528E12AC : 0               
0A00 - 4 Bytes           2E65288AB80 : 0               2E6528E12B0 : 0               
0A04 - 4 Bytes           2E65288AB84 : 0               2E6528E12B4 : 0               
0A08 - 4 Bytes           2E65288AB88 : 0               2E6528E12B8 : 20              
0A0C - 4 Bytes           2E65288AB8C : 4294967295      2E6528E12BC : 4294967295      
0A10 - 4 Bytes           2E65288AB90 : 0               2E6528E12C0 : 0               
0A14 - 4 Bytes           2E65288AB94 : 0               2E6528E12C4 : 30              
0A18 - 4 Bytes           2E65288AB98 : 0               2E6528E12C8 : 0               
0A1C - 4 Bytes (Hex)     2E65288AB9C : FFFF0000        2E6528E12CC : 00000000        
0A20 - 4 Bytes           2E65288ABA0 : 0               2E6528E12D0 : 0               
0A24 - 4 Bytes           2E65288ABA4 : 0               2E6528E12D4 : 0               
0A28 - 4 Bytes           2E65288ABA8 : 0               2E6528E12D8 : 0               
0A2C - 4 Bytes           2E65288ABAC : 0               2E6528E12DC : 0               
0A30 - 4 Bytes           2E65288ABB0 : 0               2E6528E12E0 : 20              
0A34 - 4 Bytes           2E65288ABB4 : 4294967295      2E6528E12E4 : 4294967295      
0A38 - 4 Bytes           2E65288ABB8 : 0               2E6528E12E8 : 0               
0A3C - 4 Bytes           2E65288ABBC : 0               2E6528E12EC : 30              
0A40 - 4 Bytes           2E65288ABC0 : 0               2E6528E12F0 : 0               
0A44 - 4 Bytes           2E65288ABC4 : 0               2E6528E12F4 : 0               
0A48 - 4 Bytes           2E65288ABC8 : 36              2E6528E12F8 : 0               
0A4C - 4 Bytes           2E65288ABCC : 0               2E6528E12FC : 0               
0A50 - 4 Bytes           2E65288ABD0 : 2               2E6528E1300 : 2               
0A54 - 4 Bytes           2E65288ABD4 : 2               2E6528E1304 : 2               
0A58 - 4 Bytes           2E65288ABD8 : 20              2E6528E1308 : 20              
0A5C - 4 Bytes           2E65288ABDC : 4294967295      2E6528E130C : 4294967295      
0A60 - 4 Bytes           2E65288ABE0 : 0               2E6528E1310 : 0               
0A64 - 4 Bytes           2E65288ABE4 : 10              2E6528E1314 : 30              
0A68 - 4 Bytes           2E65288ABE8 : 13              2E6528E1318 : 13              
0A6C - 4 Bytes           2E65288ABEC : 256             2E6528E131C : 1036779520      
0A70 - 4 Bytes           2E65288ABF0 : 100             2E6528E1320 : 0               
0A74 - Double            2E65288ABF4 : 0.007812500000002E6528E1324 : 0.0078125       
0A7C - 4 Bytes           2E65288ABFC : 0               2E6528E132C : 0               
0A80 - 4 Bytes           2E65288AC00 : 0               2E6528E1330 : 0               
0A84 - 4 Bytes           2E65288AC04 : 0               2E6528E1334 : 0               
0A88 - 4 Bytes           2E65288AC08 : 22              2E6528E1338 : 5               
0A8C - Double            2E65288AC0C : 0.007812500000002E6528E133C : 0.00781250000000001
0A94 - 4 Bytes           2E65288AC14 : 33              2E6528E1344 : 0               
0A98 - 4 Bytes           2E65288AC18 : 100             2E6528E1348 : 100             
0A9C - 4 Bytes           2E65288AC1C : 100             2E6528E134C : 100             
0AA0 - 4 Bytes           2E65288AC20 : 100             2E6528E1350 : 100             
0AA4 - 4 Bytes           2E65288AC24 : 100             2E6528E1354 : 100             
0AA8 - 4 Bytes           2E65288AC28 : 100             2E6528E1358 : 100             
0AAC - 4 Bytes           2E65288AC2C : 100             2E6528E135C : 100             
0AB0 - 4 Bytes           2E65288AC30 : 100             2E6528E1360 : 100             
0AB4 - 4 Bytes           2E65288AC34 : 100             2E6528E1364 : 100             
0AB8 - 4 Bytes           2E65288AC38 : 100             2E6528E1368 : 100             
0ABC - 4 Bytes           2E65288AC3C : 100             2E6528E136C : 100             
0AC0 - 4 Bytes           2E65288AC40 : 0               2E6528E1370 : 0               
0AC4 - 4 Bytes           2E65288AC44 : 12              2E6528E1374 : 0               
0AC8 - 4 Bytes           2E65288AC48 : 6               2E6528E1378 : 0               
0ACC - 4 Bytes           2E65288AC4C : 9               2E6528E137C : 0               
0AD0 - 4 Bytes           2E65288AC50 : 6               2E6528E1380 : 0               
0AD4 - 4 Bytes           2E65288AC54 : 0               2E6528E1384 : 0               
0AD8 - 4 Bytes           2E65288AC58 : 0               2E6528E1388 : 0               
0ADC - 4 Bytes           2E65288AC5C : 99              2E6528E138C : 53              
0AE0 - 4 Bytes           2E65288AC60 : 127             2E6528E1390 : 0               
0AE4 - 4 Bytes           2E65288AC64 : 0               2E6528E1394 : 0               
0AE8 - 4 Bytes (Hex)     2E65288AC68 : 00050000        2E6528E1398 : 00000000        
0AEC - 4 Bytes           2E65288AC6C : 0               2E6528E139C : 0               
0AF0 - 4 Bytes           2E65288AC70 : 0               2E6528E13A0 : 0               
0AF4 - 4 Bytes           2E65288AC74 : 0               2E6528E13A4 : 0               
0AF8 - 4 Bytes (Hex)     2E65288AC78 : 00050000        2E6528E13A8 : 00C80000        
0AFC - 4 Bytes           2E65288AC7C : 0               2E6528E13AC : 0               
0B00 - 4 Bytes (Hex)     2E65288AC80 : 00050000        2E6528E13B0 : 00640000        
0B04 - 4 Bytes           2E65288AC84 : 0               2E6528E13B4 : 0               
0B08 - 4 Bytes           2E65288AC88 : 0               2E6528E13B8 : 19660800        
0B0C - 4 Bytes           2E65288AC8C : 0               2E6528E13BC : 0               
0B10 - 4 Bytes           2E65288AC90 : 0               2E6528E13C0 : 45              
0B14 - 4 Bytes           2E65288AC94 : 0               2E6528E13C4 : 4293656576      
0B18 - 4 Bytes (Hex)     2E65288AC98 : 00050000        2E6528E13C8 : 00000000        
0B1C - 4 Bytes (Hex)     2E65288AC9C : 00010000        2E6528E13CC : 00000000        
0B20 - 4 Bytes           2E65288ACA0 : 0               2E6528E13D0 : 0               
0B24 - 4 Bytes           2E65288ACA4 : 0               2E6528E13D4 : 0               
0B28 - 4 Bytes           2E65288ACA8 : 0               2E6528E13D8 : 0               
0B2C - 4 Bytes           2E65288ACAC : 0               2E6528E13DC : 0               
0B30 - 4 Bytes           2E65288ACB0 : 0               2E6528E13E0 : 0               
0B34 - 4 Bytes           2E65288ACB4 : 0               2E6528E13E4 : 0               
0B38 - 4 Bytes           2E65288ACB8 : 0               2E6528E13E8 : 0               
0B3C - 4 Bytes           2E65288ACBC : 0               2E6528E13EC : 0               
0B40 - 4 Bytes           2E65288ACC0 : 0               2E6528E13F0 : 0               
0B44 - 4 Bytes           2E65288ACC4 : 0               2E6528E13F4 : 0               
0B48 - 4 Bytes           2E65288ACC8 : 0               2E6528E13F8 : 0               
0B4C - 4 Bytes           2E65288ACCC : 0               2E6528E13FC : 0               
0B50 - 4 Bytes           2E65288ACD0 : 0               2E6528E1400 : 0               
0B54 - 4 Bytes           2E65288ACD4 : 0               2E6528E1404 : 0               
0B58 - 4 Bytes           2E65288ACD8 : 0               2E6528E1408 : 6553700         
0B5C - 4 Bytes           2E65288ACDC : 0               2E6528E140C : 1000            
0B60 - 4 Bytes           2E65288ACE0 : 0               2E6528E1410 : 0               
0B64 - 4 Bytes           2E65288ACE4 : 0               2E6528E1414 : 0               
0B68 - 4 Bytes           2E65288ACE8 : 0               2E6528E1418 : 0               
0B6C - 4 Bytes           2E65288ACEC : 0               2E6528E141C : 0               
0B70 - 4 Bytes           2E65288ACF0 : 50              2E6528E1420 : 50              
0B74 - Double            2E65288ACF4 : 0.001434913836412E6528E1424 : 0.00781250000000009
0B7C - Float             2E65288ACFC : 1               2E6528E142C : 1               
